"","influenza_la"
"1811",770
"1812",3080
"1813",626
"1814",10056
"1815",3776
"1816",626
"1817",626
"1818",626
"1819",710
"1820",1394
"1821",164
"1822",218
"1823",92
"1824",6542
"1825",4614
"1826",3050
"1827",626
"1828",2454
"1829",3858
"1830",92
"1831",4390
"1832",770
"1833",1064
"1834",2346
"1835",770
"1836",1692
"1837",2330
"1838",626
"1839",1372
"1840",2154
"1841",812
"1842",1370
"1843",1728
"1844",1194
"1845",218
"1846",6604
"1847",770
"1848",2046
"1849",12136
"1850",218
"1851",626
"1852",626
"1853",1262
"1854",626
"1855",770
"1856",68
"1857",164
"1858",1188
"1859",5006
"1860",770
"1861",1654
"1862",4956
"1863",92
"1864",576
"1865",770
"1866",1692
"1867",770
"1868",1530
"1869",164
"1870",634
"1871",92
"1872",7528
"1873",7632
"1874",8610
"1875",8348
"1876",7660
"1877",7268
"1878",8028
"1879",12496
"1880",8610
"1881",11324
"1882",8610
"1883",10836
"1884",7370
"1885",6948
"1886",164
"1887",8900
"1888",8532
"1889",3922
"1890",244
"1891",4792
"1892",7348
"1893",6680
"1894",3474
"1895",8532
"1896",8428
"1897",8428
"1898",5996
"1899",7348
"1900",4080
"1901",2464
"1902",8832
"1903",1396
"1904",918
"1905",5946
"1906",244
"1907",244
"1908",3456
"1909",7348
"1910",5282
"1911",244
"1912",7402
"1913",2072
"1914",86
"1915",86
"1916",86
"1917",5752
"1918",86
"1919",7104
"1920",86
"1921",5170
"1922",654
"1923",6998
"1924",9042
"1925",3686
"1926",5170
"1927",6336
"1928",5306
"1929",2008
"1930",1978
"1931",6276
"1932",3046
"1933",4490
"1934",6406
"1935",8168
"1936",5756
"1937",5042
"1938",1328
"1939",2918
"1940",1720
"1941",8168
"1942",7456
"1943",4956
"1944",6374
"1945",8168
"1946",5170
"1947",10108
"1948",5884
"1949",7912
"1950",4404
"1951",6282
"1952",5170
"1953",6524
"1954",4362
"1955",7014
"1956",8672
"1957",5202
"1958",7090
"1959",6374
"1960",2008
"1961",7450
"1962",6374
"1963",3334
"1964",5562
"1965",654
"1966",654
"1967",5170
"1968",654
"1969",654
"1970",4960
"1971",654
"1972",4012
"1973",3046
"1974",4490
"1975",654
"1976",5214
"1977",1360
"1978",2920
"1979",5562
"1980",7694
"1981",3596
"1982",1720
"1983",3596
"1984",6072
"1985",3886
"1986",6276
"1987",8168
"1988",654
"1989",10588
"1990",1150
"1991",1150
"1992",1150
"1993",1150
"1994",3252
"1995",1150
"1996",3830
"1997",3830
"1998",2474
"1999",1150
"2000",3830
"2001",4508
"2002",2504
"2003",4540
"2004",2474
"2005",2504
"2006",1150
"2007",1150
"2008",4244
"2009",2504
"2010",7500
"2011",3414
"2012",5612
"2013",1150
"2014",6880
"2015",2504
"2016",3830
"2017",5742
"2018",2504
"2019",1150
"2020",3212
"2021",4540
"2022",3830
"2023",1150
"2024",5742
"2025",5612
"2026",3900
"2027",5742
"2028",1150
"2029",1150
"2030",3316
"2031",3830
"2032",3830
"2033",4016
"2034",3830
"2035",4540
"2036",3830
"2037",6898
"2038",1150
"2039",6424
"2040",2504
"2041",7500
"2042",3180
"2043",5742
"2044",3830
"2045",2504
"2046",5990
"2047",5710
"2048",2474
"2049",1150
"2050",4414
"2051",7848
"2052",3830
"2053",6124
"2054",1896
"2055",4580
"2056",5612
"2057",6392
"2058",4540
"2059",3180
"2060",2504
"2061",3830
"2062",5030
"2063",4540
"2064",4282
"2065",5030
"2066",3212
"2067",3830
"2068",1150
"2069",4676
"2070",2504
"2071",4580
"2072",1794
"2073",1150
"2074",5214
"2075",2474
"2076",1150
"2077",5366
"2078",2504
"2079",3830
"2080",2216
"2081",1150
"2082",3830
"2083",4580
"2084",4986
"2085",2504
"2086",3830
"2087",1856
"2088",3188
"2089",1150
"2090",1150
"2091",1150
"2092",3830
"2093",1150
"2094",1150
"2095",1150
"2096",1150
"2097",1150
"2098",5710
"2099",5030
"2100",2504
"2101",2504
"2102",1150
"2103",3572
"2104",1150
"2105",1150
"2106",6940
"2107",1150
"2108",3542
"2109",1150
"2110",3054
"2111",3180
"2112",1824
"2113",4538
"2114",1150
"2115",2504
"2116",2504
"2117",8742
"2118",1150
"2119",4380
"2120",1150
"2121",3830
"2122",2504
"2123",2504
"2124",4886
"2125",1794
"2126",5190
"2127",1824
"2128",5030
"2129",3830
"2130",1404
"2131",1322
"2132",1322
"2133",1322
"2134",1322
"2135",1322
"2136",2830
"2137",1322
"2138",2388
"2139",2676
"2140",1322
"2141",3384
"2142",2388
"2143",3026
"2144",1322
"2145",1322
"2146",3744
"2147",3690
"2148",3384
"2149",4830
"2150",3150
"2151",2706
"2152",1322
"2153",2068
"2154",4392
"2155",1322
"2156",2676
"2157",1762
"2158",2068
"2159",1322
"2160",1322
"2161",1322
"2162",2676
"2163",3744
"2164",2388
"2165",1322
"2166",2388
"2167",2068
"2168",2676
"2169",5584
"2170",1322
"2171",1322
"2172",4384
"2173",2676
"2174",1322
"2175",2676
"2176",3776
"2177",1322
"2178",2574
"2179",1322
"2180",3586
"2181",1322
"2182",3136
"2183",6844
"2184",1322
"2185",3384
"2186",2388
"2187",3814
"2188",3246
"2189",1322
"2190",9942
"2191",1322
"2192",3194
"2193",1322
"2194",1322
"2195",2388
"2196",2400
"2197",2676
"2198",2676
"2199",3790
"2200",1958
"2201",1322
"2202",2388
"2203",1322
"2204",1322
"2205",4454
"2206",1322
"2207",1322
"2208",2034
"2209",2676
"2210",3776
"2211",3194
"2212",2388
"2213",1322
"2214",1322
"2215",2388
"2216",2028
"2217",2510
"2218",1322
"2219",2388
"2220",8458
"2221",2388
"2222",2676
"2223",4024
"2224",2676
"2225",1322
"2226",2676
"2227",2676
"2228",1064
"2229",1064
"2230",1064
